"","bmcat","efscience_identity","efSCIENCE_SELF_EFFICACY","efscicareer","ApproxAge","Female","LGBTQ","ANATENGSP","notfincon","PELL","ASIAN","BLACK","HISPANIC","OTHER","HBCU","MSI","intact1","intact7","affact2","insopn10","insopn19","insopn21","insopn14","cmp08","affact9","insopn92","degree"
"4495","Never",70.79,56.83,5,18,0,0,2,0,0,1,0,0,0,0,1,"2","1","2","3",1,3,2,5,"2",3,4
"4496","Never",61.67,46.6,5,18,1,0,2,0,1,0,0,1,0,0,1,"3","1","2","3",3,3,4,6,"1",3,5
"4497","Never",64.66,53.18,5,18,0,0,2,0,0,0,0,1,0,0,1,"3","5","1","4",3,3,3,5,NA,3,5
"4498","Never",54.89,44.62,2,18,1,0,2,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"4499","Never",47.16,44.21,1,18,0,0,2,0,1,0,0,0,0,0,1,"2","1","2","3",2,3,2,4,"1",3,4
"4500","Pushout",43.02,40.87,1,18,1,0,2,0,0,1,0,0,0,0,1,"2",NA,"1","3",NA,NA,3,5,"1",NA,4
"4501","Pushout",47.16,43.2,2,NA,1,0,NA,0,0,0,0,1,0,0,1,"2","1","3","2",3,3,3,4,"3",2,NA
"4502","Pushout",NA,NA,6,18,1,1,2,1,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"4503","Pushout",60.27,55.65,3,NA,1,0,NA,0,0,0,0,0,0,0,1,"2","1","2","3",3,3,3,4,"1",3,NA
"4504","Pushout",59.5,45.57,5,18,1,0,2,0,0,0,0,1,0,0,1,"2","1","1","3",3,3,3,5,"1",3,7
